name,capital,population
Guernsey,St Peter Port,65228
American Samoa,Pago Pago,57881
Greenland,Nuuk,56375
Northern Mariana Islands,Saipan,53883
Saint Kitts and Nevis,Basseterre,51134
Faroe Islands,Tórshavn,48228
Cayman Islands,George Town,44270
Sint Maarten,Philipsburg,37429
Saint Martin,Marigot,35925
Liechtenstein,Vaduz,35000
Monaco,Monaco,32965
San Marino,San Marino,31477
Gibraltar,Gibraltar,27884
Åland,Mariehamn,26711
British Virgin Islands,Road Town,21730
Cook Islands,Avarua,21388
Turks and Caicos Islands,Cockburn Town,20556
Palau,Melekeok,19907
Bonaire,Kralendijk,18012
Wallis and Futuna,Mata-Utu,16025
Anguilla,The Valley,13254
Tuvalu,Funafuti,10472
Nauru,Yaren,10065
Montserrat,Plymouth,9341
Saint Barthélemy,Gustavia,8450
Saint Helena,Jamestown,7460
Saint Pierre and Miquelon,Saint-Pierre,7012
British Indian Ocean Territory,,4000
Falkland Islands,Stanley,2638
Svalbard and Jan Mayen,Longyearbyen,2550
Niue,Alofi,2166
Norfolk Island,Kingston,1828
Christmas Island,Flying Fish Cove,1500
Tokelau,,1466
Vatican City,Vatican City,921
Cocos [Keeling] Islands,West Island,628
French Southern Territories,Port-aux-Français,140
Pitcairn Islands,Adamstown,46
South Georgia and the South Sandwich Islands,Grytviken,30
Antarctica,,0
Bouvet Island,,0
Heard Island and McDonald Islands,,0
U.S. Minor Outlying Islands,,0
